iterations,rank,insampling_error,outofsampling_error,general_error
1.0,3,11.535022577288979,79.98600429602955,91.5210268733188
2.0,6,3.990335166914203,77.47456110748857,81.46489627440273
3.0,9,2.1559822601092793,75.53890263415161,77.69488489426082
4.0,10,1.7101689953328152,73.8884585782928,75.59862757362555
5.0,11,1.3359862247593433,72.40413327664166,73.74011950140093
6.0,12,1.0614168034887443,71.24190105606525,72.30331785955416
7.0,15,0.8429228980878762,70.40308194378996,71.24600484187789
8.0,15,0.6910585044831206,69.81765840910657,70.50871691358988
9.0,16,0.573039065248108,69.40518573697115,69.97822480221929
10.0,17,0.4731846227191452,69.12891455230958,69.60209917502897
11.0,18,0.39543253514481325,68.95240669898585,69.34783923413063
12.0,18,0.34104250521162555,68.84788070599845,69.18892321120987
13.0,20,0.29312379910624065,68.78921892024812,69.08234271935432
14.0,20,0.254958234218663,68.76360824409159,69.0185664783101
15.0,20,0.22958294620003694,68.76489933607446,68.99448228227453
16.0,20,0.20966629014875143,68.78223124900998,68.9918975391588
17.0,20,0.19378741654503703,68.80960600223837,69.00339341878349
18.0,20,0.18097786134004307,68.8428961497896,69.02387401112958
19.0,21,0.1689348743272375,68.88017401264173,69.049108886969
20.0,21,0.15990187964815405,68.91891619371702,69.07881807336493
21.0,21,0.15271111352930355,68.95718991813702,69.10990103166633
22.0,22,0.14581438305053832,68.99429746096635,69.14011184401696
23.0,22,0.13946171047208084,69.03031799433242,69.16977970480464
24.0,22,0.13514496096776943,69.06393493188229,69.19907989284987
25.0,22,0.1314641765326021,69.09543245630393,69.22689663283651
26.0,23,0.12703340082618444,69.12408402684352,69.25111742766975
27.0,24,0.12276794128870097,69.15057647066709,69.27334441195562
28.0,24,0.11968637134004267,69.17500799452186,69.29469436586194
29.0,25,0.11667083561414031,69.19654646270239,69.31321729831654
30.0,26,0.11398168645704125,69.21595071939522,69.32993240585226
31.0,27,0.11166263584950291,69.23399451414444,69.34565714999393
32.0,27,0.10953246023019855,69.25125342502002,69.36078588525021
33.0,28,0.10743509354477841,69.26814932248033,69.37558441602518
34.0,28,0.10545573503993642,69.28496347431602,69.39041920935625
35.0,30,0.10331018105157216,69.30150260967532,69.4048127907268
36.0,31,0.10135591376831796,69.31698737737406,69.41834329114235
37.0,32,0.09970307085491581,69.3311460599121,69.43084913076692
38.0,32,0.09837318297804228,69.34488347391621,69.4432566568941
39.0,32,0.09718866675317696,69.35830830381329,69.4554969705665
40.0,33,0.09606084823620015,69.37129685207181,69.46735770030821
41.0,33,0.09491389254519789,69.38369510630751,69.47860899885279
42.0,35,0.0938421832584143,69.39538280619925,69.48922498945763
43.0,35,0.09275849463963405,69.4062352960235,69.49899379066333
44.0,36,0.09168006038483222,69.41644280190438,69.50812286228906
45.0,37,0.0905279290006343,69.42642075670834,69.51694868570911
46.0,37,0.0892240313825469,69.4361884458673,69.52541247724974
47.0,38,0.08809296076674265,69.44554440898803,69.53363736975484
48.0,38,0.08706793801724212,69.45441303552067,69.5414809735378
49.0,39,0.08599879029608157,69.46264485017895,69.54864364047513
50.0,40,0.08493664777867688,69.47044306097837,69.55537970875699
51.0,40,0.0839063802012916,69.47779827090025,69.56170465110145
52.0,40,0.08295819039891317,69.48495453446397,69.56791272486292
53.0,41,0.08199295027730923,69.49199100923295,69.5739839595104
